car_id,make,model,year,mileage,available_now,min_rent_days,max_rent_days,daily_rate,fuel_type
Car-001,Toyota,Corolla Hybrid,2020,51000,1,1,14,69.0,Hybrid
Car-002,Suzuki,Swift,2024,22000,1,1,14,49.0,Petrol
Car-003,Mazda,CX-5,2022,31000,0,1,14,89.0,Petrol
Car-004,Toyota,Yaris Cross,2021,34000,1,1,14,59.0,Hybrid
Car-005,Mitsubishi,Outlander,2022,33000,1,1,14,55.0,Petrol
Car-006,Kia,Sportage,2020,45000,1,1,14,85.0,Petrol
Car-007,Honda,Fit,2023,56000,1,1,14,45.0,Hybrid
Car-008,Toyota,Rav4,2019,88000,0,1,14,50.0,Petrol
Car-009,Subaru,Forester,2023,47000,1,1,14,92.0,Petrol
Car-010,Volkswagen,Golf,2020,79000,1,1,14,62.0,Petrol
